#,Song,Artist,Popularity,BPM,Genres,Album,Album Date,Time,Dance,Energy,Acoustic,Instrumental,Happy,Speech,Live,Loud (Db),Key,Time Signature,Added At,Spotify Track Id,Camelot,ISRC
259,"Falsettoland / About Time","'Falsettos' 2016 Broadway Company",41,111,"musicals","Falsettos (2016 Broadway Cast Recording)",2016-12-16,04:12,56,48,74,0,38,10,50,-7,F Minor,4,2025-07-24,5m9mMGZza4cKE4UPoyCac1,4A,USSK31684936
260,"Year of the Child","Anthony Rosenthal,Stephanie J. Block,Christian Borle,Brandon Uranowitz,Tracie Thoms,Betsy Wolfe",36,80,"musicals","Falsettos (2016 Broadway Cast Recording)",2016-12-16,04:12,57,60,73,0,61,10,10,-5,G#/A♭ Major,4,2025-07-24,0guOk6nbnaL2owQc8M4h5k,4B,USSK31684937
261,"Miracle of Judaism","Anthony Rosenthal",34,157,"musicals","Falsettos (2016 Broadway Cast Recording)",2016-12-16,01:40,59,30,80,0,65,0,10,-11,G Major,4,2025-07-24,101zw04qfbPwVvZv29ce5a,9B,USSK31684938
262,"A Day in Falsettoland","'Falsettos' 2016 Broadway Company",40,143,"musicals","Falsettos (2016 Broadway Cast Recording)",2016-12-16,07:39,58,43,77,0,57,20,10,-8,F#/G♭ Major,4,2025-07-24,0U99YpWuOTT6NsEu0m856l,2B,USSK31684940
263,"Everyone Hates His Parents","Brandon Uranowitz,Anthony Rosenthal,Christian Borle,Stephanie J. Block",38,122,"musicals","Falsettos (2016 Broadway Cast Recording)",2016-12-16,04:32,70,43,78,0,57,20,10,-8,C♯/D♭ Major,4,2025-07-24,3ijb3lAGLUO3wiK6yiFy7d,3B,USSK31684941
264,"Something Bad Is Happening / More Racquetball","Tracie Thoms,Betsy Wolfe,Christian Borle,Andrew Rannells",34,150,"musicals","Falsettos (2016 Broadway Cast Recording)",2016-12-16,05:06,54,44,74,0,33,20,0,-8,D#/E♭ Major,4,2025-07-24,33M6Vty8yseDqEnc6THOKY,5B,USSK31684943
265,"Days Like This","'Falsettos' 2016 Broadway Company",37,81,"musicals","Falsettos (2016 Broadway Cast Recording)",2016-12-16,03:18,64,44,69,0,63,10,10,-7,D Major,4,2025-07-24,7mA0Qy99vpPPAerUJALQMq,10B,USSK31684945
266,"You Gotta Die Sometime","Andrew Rannells",45,182,"musicals","Falsettos (2016 Broadway Cast Recording)",2016-12-16,03:03,46,42,69,0,39,10,40,-9,E Minor,3,2025-07-24,5LoBtSrNs8J3vNL3RdAhdm,9A,USSK31684950
267,"Jason's Bar Mitzvah","'Falsettos' 2016 Broadway Company",34,82,"musicals","Falsettos (2016 Broadway Cast Recording)",2016-12-16,05:08,38,31,82,0,32,0,10,-9,E Major,4,2025-07-24,4XCP2gVRk858dlWPXuhIpB,12B,USSK31684951
268,"Don't Wanna Know","Bo Burnham",53,90,"comedy","INSIDE",2021-06-10,01:03,70,38,18,0,49,0,30,-7,C Major,4,2025-07-24,4MsBOGhjM996rL6sf0i0n7,8B,USA2P2122074
